Senator,Party,,,,,,
Micheal Bergstrom,Republican,,,,,,
Ally Seifried,Republican,,,,,,
Blake Cowboy Stephens,Republican,,,,,,
Tom Woods,Republican,,,,,,
George Burns,Republican,,,,,,
David Bullard,Republican,,,,,,
Warren Hamilton,Republican,,,,,,
Roger Thompson,Republican,,,,,,
Dewayne Pemberton,Republican,,,,,,
Bill Coleman,Republican,,,,,,
Kevin Matthews,Democratic,,,,,,
Todd Gollihare,Republican,,,,,,
Greg McCortney,Republican,,,,,,
Jerry Alvord,Republican,,,,,,
Rob Standridge,Republican,,,,,,
Mary Boren,Democratic,,,,,,
Shane Jett,Republican,,,,,,
Jack Stewart,Republican,,,,,,
Roland Pederson,Republican,,,,,,
Chuck Hall,Republican,,,,,,
Tom J. Dugger,Republican,,,,,,
Kristen Thompson,Republican,,,,,,
Lonnie Paxton,Republican,,,,,,
Darrell Weaver,Republican,,,,,,
Joe Newhouse,Republican,,,,,,
Darcy Jech,Republican,,,,,,
Casey Murdock,Republican,,,,,,
Grant Green,Republican,,,,,,
Julie Daniels,Republican,,,,,,
Julia Kirt,Democratic,,,,,,
Chris Kidd,Republican,,,,,,
John Montgomery,Republican,,,,,,
Nathan Dahm,Republican,,,,,,
Dana Prieto,Republican,,,,,,
Jo Anna Dossett,Democratic,,,,,,
John Haste,Republican,,,,,,
Cody Rogers,Republican,,,,,,
Brent Howard,Republican,,,,,,
Dave Rader,Republican,,,,,,
Carri Hicks,Democratic,,,,,,
Adam Pugh,Republican,,,,,,
Brenda Stanley,Republican,,,,,,
Jessica Garvin,Republican,,,,,,
Michael Brooks,Democratic,,,,,,
Paul Rosino,Republican,,,,,,
Kay Floyd,Democratic,,,,,,
Greg Treat,Republican,,,,,,
George Young,Democratic,,,,,,