,username,spacy similarity,compound,eval_score,party,name
0,JoshShapiroPA,0.3334228917,0.003848055194,0.1705595011,D,Josh Shapiro
1,JayCostaPA,0.3277701905,0.002769257951,0.1666543532,D,Jay Costa
2,StreetForPA,0.3279582378,0.001863773585,0.1658428925,D,Sharif Street
3,PAAttorneyGen,0.3279512268,0.0001844597174,0.1641600731,D,Josh Shapiro
4,nickmillerforpa,0.3268571978,0,0.1634285989,D,Nick Miller
5,SenCappelletti,0.2939768808,0.01532510089,0.1623135413,D,Amanda Cappelletti
6,amandaforpa,0.2860631015,0.0170388271,0.1600703779,D,Amanda Cappelletti
7,Cris49048966,0.3188644807,0,0.1594322403,R,Cris Dush
8,SenatorSaval,0.3163620115,0.0006682486948,0.1588492544,D,Nikil Saval
9,SenatorMuth,0.2817706119,0.01687814177,0.1577634477,D,Katie Muth
10,SenatorJWard,0.3091125144,0,0.1545562572,R,Judith Ward
11,SenatorCollett,0.2837542324,0.01182482771,0.1537019439,D,Maria Collett
12,senjimmydillon,0.305713642,0,0.152856821,D,Jimmy Dillon
13,SenatorJohnKane,0.2969281446,0.004229082177,0.1526931545,D,John Kane
14,SenatorComitta,0.2862779565,0.001387654933,0.1445266332,D,Carolyn Comitta
15,Senatorcosta,0.2851731282,-0.000209563056,0.1423770011,D,Jay Costa
16,NikilSaval,0.2803749387,0.001064667458,0.1412521368,D,Nikil Saval
17,SenMartyFlynn,0.277602912,0.001622251656,0.1404237077,D,Martin Flynn
18,SenatorMartinPA,0.2728705082,0,0.1364352541,R,Scott Martin
19,SenSharifStreet,0.2687663149,0.001545203837,0.1359283613,D,Sharif Street
20,SenTimKearney,0.2678819431,0.0005327436823,0.1344737152,D,Timothy Kearney
21,SenatorKimWard,0.2298565741,0.01952620222,0.1344544893,R,Kim Ward
22,SenRobinsonPA,0.2639707483,0.001841605839,0.13382698,R,Devlin Robinson
23,SenJudySchwank,0.2558734348,0.004096535797,0.1320332532,D,Judy Schwank
24,WayneForSenate,0.2375733456,0.01277272727,0.1315594001,R,Wayne Langerholc
25,brewster4senate,0.2487995061,0.006957666667,0.1313574197,D,James Brewster
26,SenatorGebhard,0.2565414905,0.001760818713,0.130031564,R,Chris Gebhard
27,SenMastriano,0.2555196817,0.0002304537999,0.1279902947,R,Doug Mastriano
28,SenLisaBoscola,0.2533923529,0.0009843234323,0.1276804999,D,Lisa Boscola
29,SenatorStefano,0.2426070351,0.00568817734,0.1269916949,R,Patrick Stefano
30,SenatorHaywood,0.2546997975,-0.0007005686184,0.1266493302,D,Art Haywood
31,senbartolotta,0.2446067741,0.004081950729,0.1263853378,R,Camera Bartolotta
32,Martin4Pa,0.2509602258,0,0.1254801129,R,Scott Martin
33,SenWilliamsPA,0.2435375973,2.91E-05,0.1217978529,D,Lindsey Williams
34,SenTartaglione,0.2418433083,0.0007320867614,0.1216537409,D,Christine Tartaglione
35,SenHughesOffice,0.2391439763,0.0008532946705,0.1204252828,D,Vincent Hughes
36,SenatorArgall,0.2355892846,0,0.1177946423,R,David Argall
37,SJSantarsiero,0.2344808568,0,0.1172404284,D,Steve Santarsiero
38,SenatorAument,0.2339979066,-3.40E-05,0.1169649567,R,Ryan Aument
39,SenatorKristin,0.2311866121,0.0008848840711,0.1164781901,R,Kristin Phillips-Hill
40,senatorlaughlin,0.2342171972,-0.0009597109304,0.1161488877,R,Daniel Laughlin
41,RepBrownPA,0.2295833332,0.00122440678,0.1160160734,R,Rosemary Brown
42,SenSantarsiero,0.2277891007,0.000678319663,0.11457287,D,Steve Santarsiero
43,WayneDFontana,0.2273999312,9.06E-05,0.1137905523,D,Wayne Fontana
44,SenatorDiSanto,0.2217984473,0.001147040905,0.1120462646,R,John DiSanto
45,SenatorBrewster,0.2156865942,0.002840490279,0.1106837874,D,James Brewster
46,SenatorGeneYaw,0.2156449644,9.73E-05,0.1079197652,R,Gene Yaw
47,SenLangerholc,0.2083546462,0,0.1041773231,R,Wayne Langerholc
48,SenLisaBaker,0.2030974922,0.002246592443,0.1037953386,R,Lisa Baker
49,SenTonyWilliams,0.1948212235,0.004691896462,0.1021025082,D,Anthony Williams
50,SenElderVogelJr,0.197101619,3.86E-05,0.09858938954,R,Elder Vogel
51,TheMartyFlynn,0.1763503693,0.001790152566,0.08996533722,D,Martin Flynn
52,SenatorHughes,0.1761138124,0.0001789121088,0.0882358183,D,Vincent Hughes
53,VoteJohnDiSanto,0.1696877673,0.0008532388664,0.0856971225,R,John DiSanto
54,carolyncomitta,0.1377632268,0.0005612516644,0.06944286506,D,Carolyn Comitta
55,dougmastriano,0.1108511364,0.01357542783,0.06900099601,R,Doug Mastriano
56,wgregrothman,0.1264843545,0.0008930845225,0.06413526176,R,Greg Rothman