Senator,Party
Nikil Saval,Democratic
Christine Tartaglione,Democratic
Sharif Street,Democratic
Art Haywood,Democratic
Jimmy Dillon,Democratic
Frank Farry,Republican
Vincent Hughes,Democratic
Anthony Williams,Democratic
John Kane,Democratic
Steve Santarsiero,Democratic
Judy Schwank,Democratic
Maria Collett,Democratic
Scott Martin,Republican
Nick Miller,Democratic
John DiSanto,Republican
Jarrett Coleman,Republican
Amanda Cappelletti,Democratic
Lisa Boscola,Democratic
Carolyn Comitta,Democratic
Lisa Baker,Republican
Scott Hutchinson,Republican
Martin Flynn,Democratic
Gene Yaw,Republican
Tracy Pennycuick,Republican
Cris Dush,Republican
Timothy Kearney,Democratic
Kristin Phillips-Hill,Republican
David Argall,Republican
Judith Ward,Republican
Mike Regan,Republican
Patrick Stefano,Republican
Doug Mastriano,Republican
Greg Rothman,Republican
Wayne Langerholc,Republican
Ryan Aument,Republican
Devlin Robinson,Republican
Lindsey Williams,Democratic
Kim Ward,Republican
Rosemary Brown,Republican
Joe Pittman,Republican
Wayne Fontana,Democratic
Jay Costa,Democratic
Katie Muth,Democratic
James Brewster,Democratic
Camera Bartolotta,Republican
Elder Vogel,Republican
Chris Gebhard,Republican
Daniel Laughlin,Republican
Michele Brooks,Republican